name,calories,protein,fat,carbs,fiber
Cookie,502,6.0,24.0,64.0,2.0
Glutinous Rice Flour,366,7.0,1.0,81.0,2.4
Xoi,207,4.0,3.5,41.0,0.9
White Rice,130,2.7,0.3,28.2,0.4
Brown Rice,123,2.6,1.0,25.6,1.8
Boiled Egg,68,6.3,4.8,0.6,0.0
Scrambled Egg,91,6.7,6.7,1.0,0.0
Milk (Whole),61,3.2,3.3,4.8,0.0
Yogurt,59,3.5,3.3,4.7,0.0
Cheddar Cheese,403,24.9,33.1,1.3,0.0
Chicken Breast,165,31.0,3.6,0.0,0.0
Chicken Thigh,209,26.0,10.9,0.0,0.0
Pork Chop,231,25.8,13.9,0.0,0.0
Beef Steak,271,25.6,18.5,0.0,0.0
Salmon,208,20.4,13.4,0.0,0.0
Shrimp,99,24.0,0.3,0.2,0.0
Cod,82,17.8,0.7,0.0,0.0
Tofu,76,8.1,4.8,1.9,0.3
Firm Tofu,83,10.0,5.3,2.0,0.4
Soybean,446,36.5,19.9,30.2,9.3
Broccoli,34,2.8,0.4,6.6,2.6
Cauliflower,25,1.9,0.3,4.9,2.0
Spinach,23,2.9,0.4,3.6,2.2
Carrot,41,0.9,0.2,9.6,2.8
Potato,77,2.0,0.1,17.5,2.2
Sweet Potato,86,1.6,0.1,20.1,3.0
Tomato,18,0.9,0.2,3.9,1.2
Cucumber,16,0.7,0.1,3.6,0.5
Apple,52,0.3,0.2,14.0,2.4
Banana,89,1.1,0.3,22.8,2.6
Orange,47,0.9,0.1,11.8,2.4
Watermelon,30,0.6,0.2,7.6,0.4
Strawberry,32,0.7,0.3,7.7,2.0
Grapes,69,0.7,0.2,18.1,0.9
Avocado,160,2.0,14.7,8.5,6.7
Lettuce,15,1.4,0.2,2.9,1.3
Peanut,567,25.8,49.2,16.1,8.5
Almond,579,21.2,49.9,21.6,12.5
Walnut,654,15.2,65.2,13.7,6.7
Bread (White),265,9.0,3.2,49.0,2.7
Bread (Whole Wheat),247,12.0,4.2,41.0,6.7
Oatmeal,68,2.4,1.4,12.0,1.7
Pasta (Cooked),131,5.0,1.1,25.0,1.3
Pizza,266,11.0,10.0,33.0,2.3
French Fries,312,3.4,15.0,41.4,3.8
Hamburger,295,17.0,14.0,27.0,1.2
Fried Chicken,246,19.0,15.0,9.0,0.7
Dumpling,212,8.0,6.0,31.0,1.5
Noodle (Instant),436,7.0,17.0,62.0,2.4
Porridge,70,1.4,0.2,15.0,0.5
Sausage,301,12.0,27.0,1.7,0.0
Ice Cream,207,3.5,11.0,24.0,0.7
Egg Fried Rice,163,3.6,3.1,29.5,0.8
